Link_Metrics

Link ID,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 ,Data,Control,Data,Control,Data,Control, , , 
All,11917920,5533731,0,0,0,0,19012380360,17400163200,1612217160
1,0,82509,0,0,0,0,15678324,0,15678324
2,0,40887,0,0,0,0,7766172,0,7766172
3,0,49101,0,0,0,0,10406982,0,10406982
4,2979480,0,0,0,0,0,4510932720,4350040800,160891920
5,2979480,5177409,0,0,0,0,5417270724,4350040800,1067229924
6,2979480,0,0,0,0,0,4510932720,4350040800,160891920
7,0,12,0,0,0,0,2664,0,2664
8,54868,0,0,0,0,0,83070152,80107280,2962872
9,0,1314,0,0,0,0,176076,0,176076
10,0,1676,0,0,0,0,363848,0,363848
11,101574,0,0,0,0,0,153783036,148298040,5484996
12,0,5418,0,0,0,0,726012,0,726012
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,3091,0,0,0,0,645082,0,645082
17,253494,0,0,0,0,0,383789916,370101240,13688676
18,0,7224,0,0,0,0,968016,0,968016
19,0,901,0,0,0,0,183574,0,183574
20,55686,0,0,0,0,0,84308604,81301560,3007044
21,0,1806,0,0,0,0,242004,0,242004
22,0,1288,0,0,0,0,269488,0,269488
23,98627,0,0,0,0,0,149321278,143995420,5325858
24,0,3096,0,0,0,0,414864,0,414864
25,0,2447,0,0,0,0,510338,0,510338
26,103703,0,0,0,0,0,157006342,151406380,5599962
27,0,6192,0,0,0,0,829728,0,829728
28,0,1935,0,0,0,0,429570,0,429570
29,15289,0,0,0,0,0,23147546,22321940,825606
30,0,7740,0,0,0,0,1037160,0,1037160
31,0,1545,0,0,0,0,318318,0,318318
32,52339,0,0,0,0,0,79241246,76414940,2826306
33,0,3104,0,0,0,0,415936,0,415936
34,0,2831,0,0,0,0,570914,0,570914
35,289462,0,0,0,0,0,438245468,422614520,15630948
36,0,4386,0,0,0,0,587724,0,587724
37,0,1675,0,0,0,0,355402,0,355402
38,117687,0,0,0,0,0,178178118,171823020,6355098
39,0,4644,0,0,0,0,622296,0,622296
40,0,1935,0,0,0,0,429570,0,429570
41,63098,0,0,0,0,0,95530372,92123080,3407292
42,0,7482,0,0,0,0,1002588,0,1002588
43,0,1288,0,0,0,0,269488,0,269488
44,54865,0,0,0,0,0,83065610,80102900,2962710
45,0,3354,0,0,0,0,449436,0,449436
46,0,2579,0,0,0,0,564314,0,564314
47,74196,0,0,0,0,0,112332744,108326160,4006584
48,0,9030,0,0,0,0,1210020,0,1210020
49,0,901,0,0,0,0,183574,0,183574
50,51303,0,0,0,0,0,77672742,74902380,2770362
51,0,1806,0,0,0,0,242004,0,242004
52,0,2321,0,0,0,0,507038,0,507038
53,126514,0,0,0,0,0,191542196,184710440,6831756
54,0,7740,0,0,0,0,1037160,0,1037160
55,0,3092,0,0,0,0,653528,0,653528
56,252405,0,0,0,0,0,382141170,368511300,13629870
57,0,7998,0,0,0,0,1071732,0,1071732
58,0,2576,0,0,0,0,538976,0,538976
59,202269,0,0,0,0,0,306235266,295312740,10922526
60,0,5934,0,0,0,0,795156,0,795156
61,0,773,0,0,0,0,163382,0,163382
62,53493,0,0,0,0,0,80988402,78099780,2888622
63,0,2064,0,0,0,0,276576,0,276576
64,0,772,0,0,0,0,154936,0,154936
65,48011,0,0,0,0,0,72688654,70096060,2592594
66,0,1290,0,0,0,0,172860,0,172860
67,0,1934,0,0,0,0,421124,0,421124
68,17029,0,0,0,0,0,25781906,24862340,919566
69,0,6708,0,0,0,0,898872,0,898872
70,0,900,0,0,0,0,175128,0,175128
71,149520,0,0,0,0,0,226373280,218299200,8074080
72,0,516,0,0,0,0,69144,0,69144
73,0,1419,0,0,0,0,315018,0,315018
74,31290,0,0,0,0,0,47373060,45683400,1689660
75,0,5418,0,0,0,0,726012,0,726012
76,0,516,0,0,0,0,114552,0,114552
77,2460,0,0,0,0,0,3724440,3591600,132840
78,0,2064,0,0,0,0,276576,0,276576
79,0,1158,0,0,0,0,232404,0,232404
80,151165,0,0,0,0,0,228863810,220700900,8162910
81,0,1548,0,0,0,0,207432,0,207432
82,0,257,0,0,0,0,48830,0,48830
83,0,0,0,0,0,0,0,0,0
84,0,258,0,0,0,0,34572,0,34572
85,0,1287,0,0,0,0,261042,0,261042
86,155820,0,0,0,0,0,235911480,227497200,8414280
87,0,2064,0,0,0,0,276576,0,276576
88,0,258,0,0,0,0,57276,0,57276
89,1092,0,0,0,0,0,1653288,1594320,58968
90,0,1032,0,0,0,0,138288,0,138288
91,0,1417,0,0,0,0,298126,0,298126
92,103419,0,0,0,0,0,156576366,150991740,5584626
93,0,3358,0,0,0,0,449972,0,449972
94,0,386,0,0,0,0,77468,0,77468
95,47879,0,0,0,0,0,72488806,69903340,2585466
96,0,774,0,0,0,0,103716,0,103716
97,0,2449,0,0,0,0,527230,0,527230
98,234095,0,0,0,0,0,354419830,341778700,12641130
99,0,6458,0,0,0,0,865372,0,865372
100,0,902,0,0,0,0,192020,0,192020
101,4928,0,0,0,0,0,7460992,7194880,266112
102,0,2838,0,0,0,0,380292,0,380292
103,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0
106,0,645,0,0,0,0,143190,0,143190
107,2124,0,0,0,0,0,3215736,3101040,114696
108,0,2326,0,0,0,0,311684,0,311684
109,0,1935,0,0,0,0,429570,0,429570
110,9776,0,0,0,0,0,14800864,14272960,527904
111,0,7740,0,0,0,0,1037160,0,1037160
112,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0
