Link_Metrics

Link ID,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 ,Data,Control,Data,Control,Data,Control, , , 
All,11917920,2266488,0,0,0,0,18376779408,17400163200,976616208
1,0,33936,0,0,0,0,6158016,0,6158016
2,0,16884,0,0,0,0,3061584,0,3061584
3,0,24720,0,0,0,0,4994400,0,4994400
4,2979480,0,0,0,0,0,4510932720,4350040800,160891920
5,2979480,2129028,0,0,0,0,4819788048,4350040800,469747248
6,2979480,0,0,0,0,0,4510932720,4350040800,160891920
7,0,12,0,0,0,0,2664,0,2664
8,63562,0,0,0,0,0,96232868,92800520,3432348
9,0,1056,0,0,0,0,141504,0,141504
10,0,902,0,0,0,0,192020,0,192020
11,76513,0,0,0,0,0,115840682,111708980,4131702
12,0,2580,0,0,0,0,345720,0,345720
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,1801,0,0,0,0,358702,0,358702
17,251030,0,0,0,0,0,380059420,366503800,13555620
18,0,2064,0,0,0,0,276576,0,276576
19,0,514,0,0,0,0,97660,0,97660
20,49658,0,0,0,0,0,75182212,72500680,2681532
21,0,258,0,0,0,0,34572,0,34572
22,0,1030,0,0,0,0,212212,0,212212
23,113292,0,0,0,0,0,171524088,165406320,6117768
24,0,1810,0,0,0,0,242540,0,242540
25,0,1673,0,0,0,0,338510,0,338510
26,118639,0,0,0,0,0,179619446,173212940,6406506
27,0,3096,0,0,0,0,414864,0,414864
28,0,516,0,0,0,0,114552,0,114552
29,61234,0,0,0,0,0,92708276,89401640,3306636
30,0,1806,0,0,0,0,242004,0,242004
31,0,900,0,0,0,0,175128,0,175128
32,101784,0,0,0,0,0,154100976,148604640,5496336
33,0,774,0,0,0,0,103716,0,103716
34,0,1799,0,0,0,0,341810,0,341810
35,298157,0,0,0,0,0,451409698,435309220,16100478
36,0,258,0,0,0,0,34572,0,34572
37,0,514,0,0,0,0,97660,0,97660
38,99316,0,0,0,0,0,150364424,145001360,5363064
39,0,0,0,0,0,0,0,0,0
40,0,516,0,0,0,0,114552,0,114552
41,25614,0,0,0,0,0,38779596,37396440,1383156
42,0,1806,0,0,0,0,242004,0,242004
43,0,643,0,0,0,0,126298,0,126298
44,52398,0,0,0,0,0,79330572,76501080,2829492
45,0,774,0,0,0,0,103716,0,103716
46,0,1031,0,0,0,0,220658,0,220658
47,71166,0,0,0,0,0,107745324,103902360,3842964
48,0,2838,0,0,0,0,380292,0,380292
49,0,514,0,0,0,0,97660,0,97660
50,49867,0,0,0,0,0,75498638,72805820,2692818
51,0,258,0,0,0,0,34572,0,34572
52,0,902,0,0,0,0,192020,0,192020
53,99865,0,0,0,0,0,151195610,145802900,5392710
54,0,2322,0,0,0,0,311148,0,311148
55,0,1415,0,0,0,0,281234,0,281234
56,228628,0,0,0,0,0,346142792,333796880,12345912
57,0,1290,0,0,0,0,172860,0,172860
58,0,1802,0,0,0,0,367148,0,367148
59,281371,0,0,0,0,0,425995694,410801660,15194034
60,0,2326,0,0,0,0,311684,0,311684
61,0,257,0,0,0,0,48830,0,48830
62,49658,0,0,0,0,0,75182212,72500680,2681532
63,0,0,0,0,0,0,0,0,0
64,0,643,0,0,0,0,126298,0,126298
65,67124,0,0,0,0,0,101625736,98001040,3624696
66,0,774,0,0,0,0,103716,0,103716
