TTT,HandoverMargin,Th_57,Th_58,Th_59,Th_60,Th_61,Th_62,Th_63,Th_64,Th_65,Th_66,Th_67,Th_68,Th_69,Th_70,Th_71,Th_72,Th_73,Th_74,Th_75,Th_76,Th_77,Th_78,Th_79,Th_80,Th_81,Th_82,Th_83,Th_84,Th_85,Th_86,Th_87,Th_88,Th_89,Th_90,Th_91,Th_92,Th_93,Th_94,Th_95,Th_96,Th_97,Th_98,Th_99,Th_100,Th_101,Th_102,Th_103,Th_104,Th_105,Th_106,Th_107,Th_108,Th_109,Th_110,Th_111,Th_112,Th_113,Th_114,Th_115,Th_116,Sum_Throughput(Mbps),Handover_Count
256,3,3.747266,3.253081,1.028646,12.189490,3.818152,0.875597,1.110808,9.401594,2.319084,0.552182,2.505561,2.951012,3.648188,1.596132,5.893970,1.460403,10.452794,19.999382,1.649699,0.650858,1.045964,1.846246,2.439106,0.989578,0.794643,3.864872,1.747972,1.924381,5.923774,1.451945,5.352662,0.778532,0.832099,1.317423,0.971454,0.698383,1.731459,19.788739,9.583641,1.603785,3.185015,2.192618,0.592055,0.556612,0.563057,2.477368,1.385490,11.836270,3.583343,0.808739,2.927250,0.416855,4.012684,8.356839,2.600612,7.574681,3.234957,0.700800,1.240899,3.381964,215.418665,125,
256,4,4.334891,3.199514,1.020993,11.013434,5.241098,1.481346,1.134571,10.215972,2.269545,0.619846,2.560739,0.917887,2.961484,1.266676,2.110455,1.260634,9.249352,19.999382,1.007299,0.526003,0.844585,2.778632,2.557517,0.956149,0.650858,3.731559,1.747570,2.434676,5.894775,1.778582,5.146450,0.863112,2.603029,2.754466,0.756381,0.652469,1.374615,19.903928,9.704066,1.535719,2.292502,2.392386,0.449479,0.564668,0.882444,1.137390,1.417308,13.131139,6.105015,1.176055,2.596585,0.439410,4.107735,11.221661,3.185418,7.516684,3.841109,0.801892,1.148265,3.266775,218.73417900000004,123,
256,5,3.853997,3.330008,1.048783,12.288166,4.282935,1.244927,0.726577,9.443884,3.243012,0.655691,2.649346,1.345214,4.515327,1.575994,1.873633,1.396767,6.970543,19.999382,1.259426,0.535266,1.103961,1.919950,2.556712,0.983134,0.975079,3.649396,2.159994,1.478930,5.764281,1.448320,5.444894,0.835321,1.194179,1.507526,0.713286,0.844182,1.720988,19.257501,8.806317,1.673865,2.812061,1.834968,0.653274,0.810753,0.696370,1.621909,1.388309,14.078025,3.172932,0.940844,2.742383,0.494588,3.853997,7.084524,2.878113,7.377732,1.561898,0.757186,0.979912,2.957457,204.97392900000003,101,
256,6,3.779487,3.359812,1.112017,10.917175,9.161148,1.215123,1.846246,10.469710,1.945324,0.696370,2.142676,0.950510,2.721843,2.268739,2.632430,1.533705,8.768861,19.999382,1.060463,0.581583,1.094295,3.104061,1.193374,2.501534,0.665760,2.836629,1.968684,3.926897,4.588226,2.265517,4.259978,1.026229,1.677490,2.161606,0.909832,0.807934,1.505512,19.941385,10.495890,1.487790,2.191007,2.847101,0.440215,0.757992,0.648039,1.186930,1.476513,12.532640,5.131548,1.399989,2.083470,0.314957,4.249103,11.313490,2.155161,5.261236,3.083923,0.927956,1.288425,3.956701,218.82762300000002,82,
512,0,3.945826,2.994510,1.460000,11.959917,3.242207,0.736646,1.080199,11.196287,2.672706,0.615415,2.300960,1.265065,3.723906,1.475305,2.358957,1.517997,6.830383,19.999382,1.491012,0.712077,1.026632,1.545385,2.967928,0.803503,1.010119,3.779487,1.195388,2.204701,6.139652,1.219553,5.680910,0.863112,2.118510,1.771332,0.867542,0.782560,1.482152,17.992436,11.089556,1.481749,2.564364,1.799123,0.570709,0.560640,0.628303,2.278808,1.614659,11.702957,3.453655,0.732215,2.763327,0.378190,4.391680,13.109390,2.639680,11.172927,2.441523,0.993606,1.287619,3.559581,216.24391999999997,78,
512,1,3.931730,3.499167,0.914262,10.884149,6.515023,0.890902,0.726174,9.141412,2.523686,0.617026,2.362582,2.290488,3.096006,2.398428,1.907465,1.557468,7.499366,19.999382,1.043950,0.506268,0.956954,2.200673,2.154356,0.805517,1.014952,3.730350,1.501484,1.590091,6.330157,1.252982,5.079592,1.046367,1.868800,1.938074,0.778935,0.842571,0.985148,14.167034,8.620243,1.377434,2.520866,1.440668,0.658108,0.547349,0.580778,2.146703,1.382670,13.608811,8.114781,0.782560,1.414891,0.372552,4.169760,8.404767,2.054069,7.057942,1.136988,0.939233,1.449931,3.381964,202.71203899999998,58,
512,2,3.461308,3.013037,1.062880,11.013032,8.915062,1.703266,1.400392,10.795542,1.989628,0.482102,2.302168,1.430196,3.785931,1.187332,2.444342,1.286814,7.030554,19.999382,1.355686,0.565473,1.413683,2.004932,2.958262,0.989981,0.884055,3.837887,2.031112,3.011023,6.345865,1.514775,5.429589,1.103156,1.329103,2.420579,0.794240,1.009716,1.866383,19.999382,11.066196,1.767305,3.123796,2.677137,0.436590,0.688314,0.861903,1.570759,1.383073,12.493572,4.858880,1.530886,2.019029,0.333484,3.616370,12.346566,1.632381,6.775608,2.141468,0.845390,1.085032,3.769418,221.191007,47,
512,3,4.186676,3.391630,1.058450,11.332822,8.434168,2.062124,0.904596,10.900259,2.334389,0.680662,2.584502,1.199415,3.216833,2.859586,2.019834,1.759652,6.910130,19.999382,1.572772,0.726577,1.182902,1.731862,2.519658,0.829683,0.980314,3.551928,1.727029,2.365804,5.851680,1.196999,5.303928,1.077782,2.337208,1.507526,0.995619,1.124905,2.032723,19.884596,11.245021,1.479332,2.689622,1.888938,0.546946,0.668177,0.873986,1.349241,1.580425,12.186670,3.309468,1.006897,2.199062,0.290792,4.426317,11.640932,2.556712,7.104259,2.531338,0.848612,1.170819,3.745252,219.6754230000001,44,
512,4,3.598246,3.526554,1.308966,11.625225,2.120121,1.199012,0.597291,11.054516,2.700497,0.670190,2.218394,0.676232,2.791520,1.136182,1.775360,1.468861,4.736844,19.999382,1.611437,0.540905,1.946532,1.960226,2.157578,0.936817,0.586417,3.578510,1.327090,6.141263,5.836778,1.397170,5.527057,0.855862,0.973870,1.250968,0.817197,0.716508,0.841363,17.774141,10.953021,1.489401,2.689622,2.344861,0.619846,0.712480,0.915873,1.625131,1.387101,12.955134,1.772138,1.023410,2.354527,0.462367,4.307503,11.840298,3.473390,8.891702,2.046014,0.919095,1.179680,4.056182,207.999858,31,
512,5,4.034836,3.062174,0.968232,12.141561,2.757286,1.665810,0.570306,11.789550,2.990483,0.596486,1.983989,0.702008,3.081506,1.199818,1.633992,1.447514,6.315255,19.999382,1.883299,0.593666,1.737903,2.843879,2.399233,1.130543,0.634345,3.885412,1.908270,2.802394,6.240342,1.209081,5.607206,1.163167,2.488646,1.567537,0.808337,0.787796,0.543321,13.405418,10.878510,1.565523,3.242610,2.249810,0.539697,0.763228,0.676232,1.389114,1.748375,12.916066,2.023862,0.901777,7.880778,0.369330,4.437594,11.347724,2.561142,7.633887,4.039669,1.503095,1.285606,3.524138,214.05775,25,
512,6,3.869302,3.109297,1.509539,12.940232,4.270852,1.822080,0.900568,9.781799,2.281628,0.573126,2.124954,0.615415,3.535415,2.124954,5.187934,1.356894,5.496850,19.999382,1.639228,0.525600,1.483360,1.887327,1.929214,1.232441,0.718119,2.647735,1.456375,3.247846,5.102549,2.253837,4.359862,0.732618,2.294919,1.498262,0.518350,0.973468,0.714494,19.993743,9.451939,1.530080,3.011426,2.734328,0.654080,0.762422,0.604541,1.475708,1.241705,11.995763,1.271509,1.092281,2.006543,0.300458,3.780292,8.578356,2.681567,7.382566,1.622312,0.892916,1.134168,3.377534,204.29206200000002,25,
1024,0,3.751697,3.090367,1.149070,11.675972,9.396761,0.798670,1.433821,11.695708,1.909479,0.669385,2.163217,1.589688,3.802444,1.322659,1.883299,1.154709,6.538786,19.999382,1.304535,0.698786,1.747167,2.784270,1.928006,0.837738,1.019785,3.309870,2.501534,2.046417,6.201274,1.057644,5.345815,1.175652,1.479332,2.760105,0.932789,0.954538,1.896590,18.780232,11.038406,1.723001,3.624022,1.721793,0.515128,0.687912,0.739868,1.636408,1.451139,11.752899,3.236568,0.922317,2.321501,0.334692,4.038461,11.059349,1.440668,13.180276,2.517241,0.809948,1.152292,3.166086,221.85716800000006,25,
1024,1,3.766599,3.045661,1.803956,11.729137,10.269539,1.649699,0.634345,11.437539,2.241754,0.580778,2.419371,1.029451,4.404971,1.269495,3.193473,1.298091,7.835669,19.999382,1.152695,0.496199,0.948094,1.357699,2.302571,0.834919,0.851029,3.508430,1.818858,5.831139,5.823487,1.624728,5.399785,1.072143,2.271156,3.980866,1.095906,0.875597,1.417710,15.317716,10.798361,1.536121,2.633236,1.994461,0.739465,0.660121,0.637164,1.894979,1.515178,11.549103,2.699691,1.004883,2.563961,0.484519,3.874941,11.975222,2.969539,11.721887,2.677942,0.877611,1.179277,3.944618,226.5219170000001,24,
1024,2,3.970394,3.782709,1.186930,11.893059,10.023051,1.884105,0.723354,11.284088,2.985650,0.693148,2.435079,1.045159,3.704977,1.402406,3.541054,1.306549,7.073650,19.999382,1.211901,0.492977,1.015757,1.103156,2.257865,1.378643,0.919095,2.824949,2.046819,4.830687,4.780342,1.904646,4.304281,0.996022,2.670290,1.532497,0.782560,0.783366,1.246538,10.845887,11.103250,1.463222,3.508028,2.272364,0.467603,0.665760,0.633539,1.205457,1.484568,13.045352,3.363840,1.316215,2.222422,0.413633,4.322003,11.940988,2.780646,8.506262,1.376629,0.764033,1.072546,3.363437,214.154819,17,
1024,3,3.581732,3.480237,1.260634,11.387597,9.223172,1.300105,0.751950,11.574074,2.938930,0.631123,2.468508,0.907818,3.746461,1.059658,2.215172,1.567939,8.341131,19.999382,1.126516,0.582389,1.079796,0.932789,1.939283,0.891305,0.882041,3.767807,2.503950,2.351305,6.225843,1.310174,5.869401,0.733826,2.003321,1.542163,1.087448,1.150681,1.274328,11.054113,10.732309,1.345214,3.524541,1.785429,0.492977,0.591652,0.701606,0.867945,1.296077,13.901214,2.217186,0.896541,1.967476,0.510698,4.862505,12.016706,2.585308,6.943156,3.692894,1.221567,1.178069,3.677992,211.75316399999994,14,
1024,4,3.945423,3.492723,1.040326,12.478268,10.078229,0.718119,0.514323,11.225286,3.408949,0.652469,2.184966,0.878819,3.186626,1.843426,5.645870,1.555051,5.009512,19.999382,1.466444,0.531641,1.174847,2.101997,1.901826,1.462417,0.584000,3.809291,1.854703,2.218394,6.424806,1.584050,5.492017,0.864723,0.736646,1.159542,1.004480,0.596486,0.945274,11.261937,10.588927,1.597341,3.710212,1.808789,0.712883,0.601721,0.537683,0.502643,1.573175,12.407382,1.646880,0.754770,2.145898,0.417258,4.151233,11.845937,4.537881,9.739912,4.310323,0.691939,1.098323,3.392436,213.806834,14,
1024,5,3.983283,3.248651,0.989578,11.176149,10.423393,1.415697,0.811156,11.069821,3.002163,0.599305,2.178521,0.695967,2.880127,1.414086,7.107884,1.367768,7.818753,19.999382,1.205054,0.389870,1.319840,1.112017,1.487790,0.965010,0.721341,3.508833,2.911945,1.785026,6.218190,1.706086,5.577401,0.651261,1.891354,3.576094,0.718521,0.719327,1.296077,10.514417,10.923619,1.455167,3.653826,2.348083,0.521170,0.744701,0.608568,1.008105,1.612646,13.052601,1.510345,1.021799,2.331570,0.489352,3.916022,12.183046,3.237777,11.831840,1.963448,0.728993,1.049186,3.657451,218.306453,10,
1024,6,3.852386,3.305037,1.017368,11.572061,10.158781,1.730654,0.633539,11.284491,2.698886,0.627498,2.276794,0.729396,3.560789,1.584050,6.410306,1.645269,9.164772,19.999382,1.378240,0.626692,1.153098,1.100739,1.176055,0.843377,0.561043,3.423046,3.097617,1.776568,6.085280,1.332728,5.626538,0.979509,1.865175,4.327239,0.957357,0.850626,1.325076,10.944966,10.594566,1.450334,2.992094,1.996072,0.502240,0.887680,0.691134,0.534461,1.706488,13.156513,1.483360,1.043950,2.209534,0.389870,4.052960,12.150422,2.886571,9.250560,1.276342,0.739465,1.061672,3.616772,216.35548799999998,8,
