Link_Metrics

Link ID,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 ,Data,Control,Data,Control,Data,Control, , , 
All,11917920,2007155,0,0,0,0,18326330184,17400163200,926166984
1,0,30077,0,0,0,0,5401652,0,5401652
2,0,14979,0,0,0,0,2688204,0,2688204
3,0,22781,0,0,0,0,4563942,0,4563942
4,2979480,0,0,0,0,0,4510932720,4350040800,160891920
5,2979480,1887093,0,0,0,0,4772368788,4350040800,422327988
6,2979480,0,0,0,0,0,4510932720,4350040800,160891920
7,0,8,0,0,0,0,1776,0,1776
8,33972,0,0,0,0,0,51433608,49599120,1834488
9,0,1048,0,0,0,0,140432,0,140432
10,0,644,0,0,0,0,134744,0,134744
11,105139,0,0,0,0,0,159180446,153502940,5677506
12,0,1290,0,0,0,0,172860,0,172860
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,1543,0,0,0,0,301426,0,301426
17,253495,0,0,0,0,0,383791430,370102700,13688730
18,0,1032,0,0,0,0,138288,0,138288
19,0,514,0,0,0,0,97660,0,97660
20,49658,0,0,0,0,0,75182212,72500680,2681532
21,0,258,0,0,0,0,34572,0,34572
22,0,1417,0,0,0,0,298126,0,298126
23,122536,0,0,0,0,0,185519504,178902560,6616944
24,0,2334,0,0,0,0,312756,0,312756
25,0,1286,0,0,0,0,252596,0,252596
26,61181,0,0,0,0,0,92628034,89324260,3303774
27,0,1806,0,0,0,0,242004,0,242004
28,0,387,0,0,0,0,85914,0,85914
29,19727,0,0,0,0,0,29866678,28801420,1065258
30,0,1548,0,0,0,0,207432,0,207432
31,0,1029,0,0,0,0,203766,0,203766
32,116306,0,0,0,0,0,176087284,169806760,6280524
33,0,1290,0,0,0,0,172860,0,172860
34,0,1928,0,0,0,0,370448,0,370448
35,293226,0,0,0,0,0,443944164,428109960,15834204
36,0,774,0,0,0,0,103716,0,103716
37,0,643,0,0,0,0,126298,0,126298
38,119044,0,0,0,0,0,180232616,173804240,6428376
39,0,516,0,0,0,0,69144,0,69144
40,0,258,0,0,0,0,57276,0,57276
41,37945,0,0,0,0,0,57448730,55399700,2049030
42,0,774,0,0,0,0,103716,0,103716
43,0,901,0,0,0,0,183574,0,183574
44,104313,0,0,0,0,0,157929882,152296980,5632902
45,0,1548,0,0,0,0,207432,0,207432
46,0,902,0,0,0,0,192020,0,192020
47,52805,0,0,0,0,0,79946770,77095300,2851470
48,0,2322,0,0,0,0,311148,0,311148
49,0,514,0,0,0,0,97660,0,97660
50,49867,0,0,0,0,0,75498638,72805820,2692818
51,0,258,0,0,0,0,34572,0,34572
52,0,773,0,0,0,0,163382,0,163382
53,137322,0,0,0,0,0,207905508,200490120,7415388
54,0,1548,0,0,0,0,207432,0,207432
55,0,1415,0,0,0,0,281234,0,281234
56,243424,0,0,0,0,0,368543936,355399040,13144896
57,0,1290,0,0,0,0,172860,0,172860
58,0,1544,0,0,0,0,309872,0,309872
59,216443,0,0,0,0,0,327694702,316006780,11687922
60,0,2064,0,0,0,0,276576,0,276576
61,0,386,0,0,0,0,77468,0,77468
62,52670,0,0,0,0,0,79742380,76898200,2844180
63,0,516,0,0,0,0,69144,0,69144
64,0,514,0,0,0,0,97660,0,97660
65,56715,0,0,0,0,0,85866510,82803900,3062610
66,0,258,0,0,0,0,34572,0,34572
67,0,386,0,0,0,0,77468,0,77468
68,11713,0,0,0,0,0,17733482,17100980,632502
69,0,774,0,0,0,0,103716,0,103716
70,0,771,0,0,0,0,146490,0,146490
71,148974,0,0,0,0,0,225546636,217502040,8044596
72,0,0,0,0,0,0,0,0,0
73,0,258,0,0,0,0,57276,0,57276
74,29930,0,0,0,0,0,45314020,43697800,1616220
75,0,774,0,0,0,0,103716,0,103716
76,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0
79,0,771,0,0,0,0,146490,0,146490
80,148974,0,0,0,0,0,225546636,217502040,8044596
81,0,0,0,0,0,0,0,0,0
82,0,257,0,0,0,0,48830,0,48830
83,9249,0,0,0,0,0,14002986,13503540,499446
84,0,258,0,0,0,0,34572,0,34572
85,0,771,0,0,0,0,146490,0,146490
86,148974,0,0,0,0,0,225546636,217502040,8044596
87,0,0,0,0,0,0,0,0,0
88,0,129,0,0,0,0,28638,0,28638
89,6027,0,0,0,0,0,9124878,8799420,325458
90,0,516,0,0,0,0,69144,0,69144
91,0,1030,0,0,0,0,212212,0,212212
92,103694,0,0,0,0,0,156992716,151393240,5599476
93,0,2064,0,0,0,0,276576,0,276576
94,0,257,0,0,0,0,48830,0,48830
95,49658,0,0,0,0,0,75182212,72500680,2681532
96,0,0,0,0,0,0,0,0,0
97,0,1030,0,0,0,0,212212,0,212212
98,182595,0,0,0,0,0,276448830,266588700,9860130
99,0,1294,0,0,0,0,173396,0,173396
100,0,257,0,0,0,0,48830,0,48830
101,0,0,0,0,0,0,0,0,0
102,0,258,0,0,0,0,34572,0,34572
103,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0
109,0,258,0,0,0,0,57276,0,57276
110,13904,0,0,0,0,0,21050656,20299840,750816
111,0,1032,0,0,0,0,138288,0,138288
112,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0




Queue_Metrics

Device_id,Port_id,Queued_packet,Dequeued_packet,Dropped_packet




TCP_Metrics

Source,Destination,Local Address,Remote Address,Syn Sent,Syn-Ack Sent,Segment Sent,Segment Received,Segment Retransmitted,Ack Sent,Ack Received,Duplicate segment received,Out of order segment received,Duplicate ack received,Times RTO expired
