Link_Metrics

Link ID,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 ,Data,Control,Data,Control,Data,Control, , , 
All,11917920,2750454,0,0,0,0,18470930752,17400163200,1070767552
1,0,41122,0,0,0,0,7566472,0,7566472
2,0,20440,0,0,0,0,3758560,0,3758560
3,0,28322,0,0,0,0,5794044,0,5794044
4,2979480,0,0,0,0,0,4510932720,4350040800,160891920
5,2979480,2580640,0,0,0,0,4908304000,4350040800,558263200
6,2979480,0,0,0,0,0,4510932720,4350040800,160891920
7,0,2,0,0,0,0,444,0,444
8,822,0,0,0,0,0,1244508,1200120,44388
9,0,262,0,0,0,0,35108,0,35108
10,0,902,0,0,0,0,192020,0,192020
11,79656,0,0,0,0,0,120599184,116297760,4301424
12,0,2322,0,0,0,0,311148,0,311148
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,1930,0,0,0,0,387340,0,387340
17,254724,0,0,0,0,0,385652136,371897040,13755096
18,0,2322,0,0,0,0,311148,0,311148
19,0,643,0,0,0,0,126298,0,126298
20,52398,0,0,0,0,0,79330572,76501080,2829492
21,0,774,0,0,0,0,103716,0,103716
22,0,901,0,0,0,0,183574,0,183574
23,64391,0,0,0,0,0,97487974,94010860,3477114
24,0,1806,0,0,0,0,242004,0,242004
25,0,1415,0,0,0,0,281234,0,281234
26,160963,0,0,0,0,0,243697982,235005980,8692002
27,0,1806,0,0,0,0,242004,0,242004
28,0,387,0,0,0,0,85914,0,85914
29,14521,0,0,0,0,0,21984794,21200660,784134
30,0,1548,0,0,0,0,207432,0,207432
31,0,1287,0,0,0,0,261042,0,261042
32,153363,0,0,0,0,0,232191582,223909980,8281602
33,0,2064,0,0,0,0,276576,0,276576
34,0,2057,0,0,0,0,399086,0,399086
35,310138,0,0,0,0,0,469548932,452801480,16747452
36,0,1032,0,0,0,0,138288,0,138288
37,0,901,0,0,0,0,183574,0,183574
38,122743,0,0,0,0,0,185832902,179204780,6628122
39,0,1290,0,0,0,0,172860,0,172860
40,0,774,0,0,0,0,171828,0,171828
41,42472,0,0,0,0,0,64302608,62009120,2293488
42,0,3096,0,0,0,0,414864,0,414864
43,0,1417,0,0,0,0,298126,0,298126
