Link_Metrics

Link ID,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 ,Data,Control,Data,Control,Data,Control, , , 
All,11917920,1419369,0,0,0,0,18211984568,17400163200,811821368
1,0,21335,0,0,0,0,3688220,0,3688220
2,0,10661,0,0,0,0,1841876,0,1841876
3,0,18391,0,0,0,0,3589362,0,3589362
4,2979480,0,0,0,0,0,4510932720,4350040800,160891920
5,2979480,1338707,0,0,0,0,4664885132,4350040800,314844332
6,2979480,0,0,0,0,0,4510932720,4350040800,160891920
7,0,4,0,0,0,0,888,0,888
8,34381,0,0,0,0,0,52052834,50196260,1856574
9,0,266,0,0,0,0,35644,0,35644
10,0,257,0,0,0,0,48830,0,48830
11,49658,0,0,0,0,0,75182212,72500680,2681532
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,1285,0,0,0,0,244150,0,244150
17,202129,0,0,0,0,0,306023306,295108340,10914966
18,0,258,0,0,0,0,34572,0,34572
19,0,514,0,0,0,0,97660,0,97660
20,81648,0,0,0,0,0,123615072,119206080,4408992
21,0,258,0,0,0,0,34572,0,34572
22,0,772,0,0,0,0,154936,0,154936
23,82603,0,0,0,0,0,125060942,120600380,4460562
24,0,778,0,0,0,0,104252,0,104252
25,0,1157,0,0,0,0,223958,0,223958
26,93981,0,0,0,0,0,142287234,137212260,5074974
27,0,1032,0,0,0,0,138288,0,138288
28,0,129,0,0,0,0,28638,0,28638
29,42193,0,0,0,0,0,63880202,61601780,2278422
30,0,516,0,0,0,0,69144,0,69144
31,0,1029,0,0,0,0,203766,0,203766
32,125830,0,0,0,0,0,190506620,183711800,6794820
33,0,1036,0,0,0,0,138824,0,138824
34,0,1799,0,0,0,0,341810,0,341810
35,300349,0,0,0,0,0,454728386,438509540,16218846
36,0,258,0,0,0,0,34572,0,34572
37,0,514,0,0,0,0,97660,0,97660
38,99316,0,0,0,0,0,150364424,145001360,5363064
39,0,0,0,0,0,0,0,0,0
