Link_Metrics

Link ID,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 ,Data,Control,Data,Control,Data,Control, , , 
All,11917920,3943285,0,0,0,0,18702980248,17400163200,1302817048
1,0,58859,0,0,0,0,11042924,0,11042924
2,0,29203,0,0,0,0,5476108,0,5476108
3,0,37227,0,0,0,0,7770954,0,7770954
4,2979480,0,0,0,0,0,4510932720,4350040800,160891920
5,2979480,3693541,0,0,0,0,5126432596,4350040800,776391796
6,2979480,0,0,0,0,0,4510932720,4350040800,160891920
7,0,6,0,0,0,0,1332,0,1332
8,5898,0,0,0,0,0,8929572,8611080,318492
9,0,786,0,0,0,0,105324,0,105324
10,0,386,0,0,0,0,77468,0,77468
11,50482,0,0,0,0,0,76429748,73703720,2726028
12,0,516,0,0,0,0,69144,0,69144
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,1801,0,0,0,0,358702,0,358702
17,211446,0,0,0,0,0,320129244,308711160,11418084
18,0,2322,0,0,0,0,311148,0,311148
19,0,1159,0,0,0,0,240850,0,240850
20,41989,0,0,0,0,0,63571346,61303940,2267406
21,0,2838,0,0,0,0,380292,0,380292
22,0,2062,0,0,0,0,441316,0,441316
23,98087,0,0,0,0,0,148503718,143207020,5296698
24,0,5426,0,0,0,0,727084,0,727084
25,0,1931,0,0,0,0,395786,0,395786
26,146300,0,0,0,0,0,221498200,213598000,7900200
27,0,3870,0,0,0,0,518580,0,518580
28,0,903,0,0,0,0,200466,0,200466
29,88759,0,0,0,0,0,134381126,129588140,4792986
30,0,3096,0,0,0,0,414864,0,414864
31,0,1932,0,0,0,0,404232,0,404232
32,103984,0,0,0,0,0,157431776,151816640,5615136
33,0,4648,0,0,0,0,622832,0,622832
34,0,2444,0,0,0,0,485000,0,485000
35,336381,0,0,0,0,0,509280834,491116260,18164574
36,0,2580,0,0,0,0,345720,0,345720
37,0,1546,0,0,0,0,326764,0,326764
