Link_Metrics

Link ID,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 ,Data,Control,Data,Control,Data,Control, , , 
All,11917920,1419369,0,0,0,0,18211984568,17400163200,811821368
1,0,21335,0,0,0,0,3688220,0,3688220
2,0,10661,0,0,0,0,1841876,0,1841876
3,0,18391,0,0,0,0,3589362,0,3589362
4,2979480,0,0,0,0,0,4510932720,4350040800,160891920
5,2979480,1338707,0,0,0,0,4664885132,4350040800,314844332
6,2979480,0,0,0,0,0,4510932720,4350040800,160891920
7,0,4,0,0,0,0,888,0,888
8,39862,0,0,0,0,0,60351068,58198520,2152548
9,0,266,0,0,0,0,35644,0,35644
10,0,386,0,0,0,0,77468,0,77468
11,96369,0,0,0,0,0,145902666,140698740,5203926
12,0,258,0,0,0,0,34572,0,34572
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,1414,0,0,0,0,272788,0,272788
17,235553,0,0,0,0,0,356627242,343907380,12719862
18,0,774,0,0,0,0,103716,0,103716
19,0,643,0,0,0,0,126298,0,126298
20,116304,0,0,0,0,0,176084256,169803840,6280416
21,0,516,0,0,0,0,69144,0,69144
22,0,772,0,0,0,0,154936,0,154936
23,107745,0,0,0,0,0,163125930,157307700,5818230
24,0,1032,0,0,0,0,138288,0,138288
25,0,1157,0,0,0,0,223958,0,223958
26,158225,0,0,0,0,0,239552650,231008500,8544150
27,0,774,0,0,0,0,103716,0,103716
28,0,258,0,0,0,0,57276,0,57276
29,26162,0,0,0,0,0,39609268,38196520,1412748
30,0,774,0,0,0,0,103716,0,103716
31,0,771,0,0,0,0,146490,0,146490
32,61648,0,0,0,0,0,93335072,90006080,3328992
33,0,262,0,0,0,0,35108,0,35108
34,0,1799,0,0,0,0,341810,0,341810
35,298157,0,0,0,0,0,451409698,435309220,16100478
36,0,258,0,0,0,0,34572,0,34572
37,0,643,0,0,0,0,126298,0,126298
38,118356,0,0,0,0,0,179190984,172799760,6391224
39,0,258,0,0,0,0,34572,0,34572
