Link_Metrics

Link ID,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 ,Data,Control,Data,Control,Data,Control, , , 
All,11917920,6069684,0,0,0,0,19116641776,17400163200,1716478576
1,0,90484,0,0,0,0,17241424,0,17241424
2,0,44824,0,0,0,0,8537824,0,8537824
3,0,53108,0,0,0,0,11296536,0,11296536
4,2979480,0,0,0,0,0,4510932720,4350040800,160891920
5,2979480,5677408,0,0,0,0,5515270528,4350040800,1165229728
6,2979480,0,0,0,0,0,4510932720,4350040800,160891920
7,0,20,0,0,0,0,4440,0,4440
8,57617,0,0,0,0,0,87232138,84120820,3111318
9,0,2362,0,0,0,0,316508,0,316508
10,0,1289,0,0,0,0,277934,0,277934
11,103229,0,0,0,0,0,156288706,150714340,5574366
12,0,3870,0,0,0,0,518580,0,518580
13,0,129,0,0,0,0,28638,0,28638
14,548,0,0,0,0,0,829672,800080,29592
15,0,516,0,0,0,0,69144,0,69144
16,0,2188,0,0,0,0,444616,0,444616
17,256997,0,0,0,0,0,389093458,375215620,13877838
18,0,3612,0,0,0,0,484008,0,484008
19,0,1288,0,0,0,0,269488,0,269488
20,53706,0,0,0,0,0,81310884,78410760,2900124
21,0,3354,0,0,0,0,449436,0,449436
22,0,1804,0,0,0,0,384040,0,384040
23,36308,0,0,0,0,0,54970312,53009680,1960632
24,0,5418,0,0,0,0,726012,0,726012
25,0,1802,0,0,0,0,367148,0,367148
26,102264,0,0,0,0,0,154827696,149305440,5522256
27,0,3612,0,0,0,0,484008,0,484008
28,0,1677,0,0,0,0,372294,0,372294
29,12823,0,0,0,0,0,19414022,18721580,692442
30,0,6708,0,0,0,0,898872,0,898872
31,0,2190,0,0,0,0,461508,0,461508
32,189115,0,0,0,0,0,286320110,276107900,10212210
33,0,5164,0,0,0,0,691976,0,691976
34,0,3347,0,0,0,0,685466,0,685466
35,307280,0,0,0,0,0,465221920,448628800,16593120
36,0,6450,0,0,0,0,864300,0,864300
37,0,1546,0,0,0,0,326764,0,326764
38,112479,0,0,0,0,0,170293206,164219340,6073866
39,0,4128,0,0,0,0,553152,0,553152
40,0,1806,0,0,0,0,400932,0,400932
41,65691,0,0,0,0,0,99456174,95908860,3547314
42,0,6708,0,0,0,0,898872,0,898872
43,0,1804,0,0,0,0,384040,0,384040
44,57059,0,0,0,0,0,86387326,83306140,3081186
45,0,5418,0,0,0,0,726012,0,726012
46,0,2063,0,0,0,0,449762,0,449762
47,63980,0,0,0,0,0,96865720,93410800,3454920
48,0,6966,0,0,0,0,933444,0,933444
49,0,772,0,0,0,0,154936,0,154936
50,50208,0,0,0,0,0,76014912,73303680,2711232
51,0,1290,0,0,0,0,172860,0,172860
52,0,2321,0,0,0,0,507038,0,507038
53,124246,0,0,0,0,0,188108444,181399160,6709284
54,0,7740,0,0,0,0,1037160,0,1037160
55,0,1931,0,0,0,0,395786,0,395786
56,249939,0,0,0,0,0,378407646,364910940,13496706
57,0,3354,0,0,0,0,449436,0,449436
58,0,2705,0,0,0,0,567614,0,567614
59,115840,0,0,0,0,0,175381760,169126400,6255360
60,0,6966,0,0,0,0,933444,0,933444
61,0,515,0,0,0,0,106106,0,106106
62,51300,0,0,0,0,0,77668200,74898000,2770200
63,0,1032,0,0,0,0,138288,0,138288
64,0,772,0,0,0,0,154936,0,154936
65,51026,0,0,0,0,0,77253364,74497960,2755404
66,0,1290,0,0,0,0,172860,0,172860
67,0,2321,0,0,0,0,507038,0,507038
68,18336,0,0,0,0,0,27760704,26770560,990144
69,0,8514,0,0,0,0,1140876,0,1140876
70,0,1932,0,0,0,0,404232,0,404232
71,141834,0,0,0,0,0,214736676,207077640,7659036
72,0,4644,0,0,0,0,622296,0,622296
73,0,1290,0,0,0,0,286380,0,286380
74,34851,0,0,0,0,0,52764414,50882460,1881954
75,0,4902,0,0,0,0,656868,0,656868
76,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0
79,0,1545,0,0,0,0,318318,0,318318
80,153558,0,0,0,0,0,232486812,224194680,8292132
81,0,3096,0,0,0,0,414864,0,414864
82,0,515,0,0,0,0,106106,0,106106
83,1094,0,0,0,0,0,1656316,1597240,59076
84,0,1290,0,0,0,0,172860,0,172860
85,0,1029,0,0,0,0,203766,0,203766
86,199179,0,0,0,0,0,301557006,290801340,10755666
87,0,774,0,0,0,0,103716,0,103716
88,0,774,0,0,0,0,171828,0,171828
89,3559,0,0,0,0,0,5388326,5196140,192186
90,0,3096,0,0,0,0,414864,0,414864
91,0,3352,0,0,0,0,727696,0,727696
92,85399,0,0,0,0,0,129294086,124682540,4611546
93,0,10086,0,0,0,0,1351524,0,1351524
94,0,515,0,0,0,0,106106,0,106106
95,46368,0,0,0,0,0,70201152,67697280,2503872
96,0,1032,0,0,0,0,138288,0,138288
97,0,2707,0,0,0,0,584506,0,584506
98,156144,0,0,0,0,0,236402016,227970240,8431776
99,0,7752,0,0,0,0,1038768,0,1038768
100,0,1547,0,0,0,0,335210,0,335210
101,7661,0,0,0,0,0,11598754,11185060,413694
102,0,5418,0,0,0,0,726012,0,726012
103,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0
106,0,1419,0,0,0,0,315018,0,315018
107,52729,0,0,0,0,0,79831706,76984340,2847366
108,0,5418,0,0,0,0,726012,0,726012
109,0,1806,0,0,0,0,400932,0,400932
110,14990,0,0,0,0,0,22694860,21885400,809460
