Link_Metrics

Link ID,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 ,Data,Control,Data,Control,Data,Control, , , 
All,11917920,1229212,0,0,0,0,18174991920,17400163200,774828720
1,0,18508,0,0,0,0,3134128,0,3134128
2,0,9264,0,0,0,0,1568064,0,1568064
3,0,16972,0,0,0,0,3274344,0,3274344
4,2979480,0,0,0,0,0,4510932720,4350040800,160891920
5,2979480,1161288,0,0,0,0,4630111008,4350040800,280070208
6,2979480,0,0,0,0,0,4510932720,4350040800,160891920
7,0,4,0,0,0,0,888,0,888
8,61913,0,0,0,0,0,93736282,90392980,3343302
9,0,8,0,0,0,0,1072,0,1072
10,0,386,0,0,0,0,77468,0,77468
11,93629,0,0,0,0,0,141754306,136698340,5055966
12,0,258,0,0,0,0,34572,0,34572
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,1285,0,0,0,0,244150,0,244150
17,205417,0,0,0,0,0,311001338,299908820,11092518
18,0,258,0,0,0,0,34572,0,34572
19,0,514,0,0,0,0,97660,0,97660
20,90689,0,0,0,0,0,137303146,132405940,4897206
21,0,258,0,0,0,0,34572,0,34572
22,0,772,0,0,0,0,154936,0,154936
23,129860,0,0,0,0,0,196608040,189595600,7012440
24,0,774,0,0,0,0,103716,0,103716
25,0,1157,0,0,0,0,223958,0,223958
26,161098,0,0,0,0,0,243902372,235203080,8699292
27,0,516,0,0,0,0,69144,0,69144
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0
31,0,771,0,0,0,0,146490,0,146490
32,129803,0,0,0,0,0,196521742,189512380,7009362
33,0,516,0,0,0,0,69144,0,69144
34,0,1799,0,0,0,0,341810,0,341810
35,304459,0,0,0,0,0,460950926,444510140,16440786
36,0,258,0,0,0,0,34572,0,34572
37,0,514,0,0,0,0,97660,0,97660
38,99316,0,0,0,0,0,150364424,145001360,5363064
39,0,0,0,0,0,0,0,0,0
40,0,129,0,0,0,0,28638,0,28638
41,48627,0,0,0,0,0,73621278,70995420,2625858
42,0,258,0,0,0,0,34572,0,34572
43,0,514,0,0,0,0,97660,0,97660
44,50415,0,0,0,0,0,76328310,73605900,2722410
45,0,258,0,0,0,0,34572,0,34572
46,0,257,0,0,0,0,48830,0,48830
47,49658,0,0,0,0,0,75182212,72500680,2681532
48,0,0,0,0,0,0,0,0,0
49,0,514,0,0,0,0,97660,0,97660
50,50689,0,0,0,0,0,76743146,74005940,2737206
51,0,258,0,0,0,0,34572,0,34572
52,0,386,0,0,0,0,77468,0,77468
53,92805,0,0,0,0,0,140506770,135495300,5011470
54,0,258,0,0,0,0,34572,0,34572
55,0,1157,0,0,0,0,223958,0,223958
56,196166,0,0,0,0,0,296995324,286402360,10592964
57,0,516,0,0,0,0,69144,0,69144
58,0,1415,0,0,0,0,281234,0,281234
59,276983,0,0,0,0,0,419352262,404395180,14957082
60,0,778,0,0,0,0,104252,0,104252
61,0,257,0,0,0,0,48830,0,48830
62,49658,0,0,0,0,0,75182212,72500680,2681532
63,0,0,0,0,0,0,0,0,0
64,0,514,0,0,0,0,97660,0,97660
65,99316,0,0,0,0,0,150364424,145001360,5363064
66,0,0,0,0,0,0,0,0,0
67,0,257,0,0,0,0,48830,0,48830
68,49658,0,0,0,0,0,75182212,72500680,2681532
69,0,0,0,0,0,0,0,0,0
70,0,771,0,0,0,0,146490,0,146490
