Link_Metrics

Link ID,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 ,Data,Control,Data,Control,Data,Control, , , 
All,11917920,6035096,0,0,0,0,19109913488,17400163200,1709750288
1,0,89968,0,0,0,0,17140288,0,17140288
2,0,44570,0,0,0,0,8488040,0,8488040
3,0,52848,0,0,0,0,11238816,0,11238816
4,2979480,0,0,0,0,0,4510932720,4350040800,160891920
5,2979480,5645150,0,0,0,0,5508947960,4350040800,1158907160
6,2979480,0,0,0,0,0,4510932720,4350040800,160891920
7,0,18,0,0,0,0,3996,0,3996
8,56794,0,0,0,0,0,85986116,82919240,3066876
9,0,2100,0,0,0,0,281400,0,281400
10,0,1418,0,0,0,0,306572,0,306572
11,102958,0,0,0,0,0,155878412,150318680,5559732
12,0,4386,0,0,0,0,587724,0,587724
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,2059,0,0,0,0,415978,0,415978
17,252609,0,0,0,0,0,382450026,368809140,13640886
18,0,3096,0,0,0,0,414864,0,414864
19,0,1417,0,0,0,0,298126,0,298126
20,54252,0,0,0,0,0,82137528,79207920,2929608
21,0,3870,0,0,0,0,518580,0,518580
22,0,2062,0,0,0,0,441316,0,441316
23,39324,0,0,0,0,0,59536536,57413040,2123496
24,0,6450,0,0,0,0,864300,0,864300
25,0,2060,0,0,0,0,424424,0,424424
26,105005,0,0,0,0,0,158977570,153307300,5670270
27,0,4644,0,0,0,0,622296,0,622296
28,0,1677,0,0,0,0,372294,0,372294
29,11999,0,0,0,0,0,18166486,17518540,647946
30,0,6708,0,0,0,0,898872,0,898872
31,0,2319,0,0,0,0,490146,0,490146
32,189663,0,0,0,0,0,287149782,276907980,10241802
33,0,5680,0,0,0,0,761120,0,761120
34,0,2831,0,0,0,0,570914,0,570914
35,304533,0,0,0,0,0,461062962,444618180,16444782
36,0,4386,0,0,0,0,587724,0,587724
37,0,1417,0,0,0,0,298126,0,298126
38,118091,0,0,0,0,0,178789774,172412860,6376914
39,0,3354,0,0,0,0,449436,0,449436
40,0,1935,0,0,0,0,429570,0,429570
41,71037,0,0,0,0,0,107550018,103714020,3835998
42,0,7482,0,0,0,0,1002588,0,1002588
43,0,1675,0,0,0,0,355402,0,355402
44,57060,0,0,0,0,0,86388840,83307600,3081240
45,0,4902,0,0,0,0,656868,0,656868
46,0,1934,0,0,0,0,421124,0,421124
47,60558,0,0,0,0,0,91684812,88414680,3270132
48,0,6708,0,0,0,0,898872,0,898872
49,0,901,0,0,0,0,183574,0,183574
50,50758,0,0,0,0,0,76847612,74106680,2740932
51,0,1806,0,0,0,0,242004,0,242004
52,0,2063,0,0,0,0,449762,0,449762
53,126162,0,0,0,0,0,191009268,184196520,6812748
