Link_Metrics

Link ID,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 ,Data,Control,Data,Control,Data,Control, , , 
All,11917920,8835548,0,0,0,0,19654707248,17400163200,2254544048
1,0,131596,0,0,0,0,25299376,0,25299376
2,0,65144,0,0,0,0,12520544,0,12520544
3,0,73740,0,0,0,0,15876840,0,15876840
4,2979480,0,0,0,0,0,4510932720,4350040800,160891920
5,2979480,8258048,0,0,0,0,6021075968,4350040800,1671035168
6,2979480,0,0,0,0,0,4510932720,4350040800,160891920
7,0,12,0,0,0,0,2664,0,2664
8,48291,0,0,0,0,0,73112574,70504860,2607714
9,0,1314,0,0,0,0,176076,0,176076
10,0,2450,0,0,0,0,535676,0,535676
11,47760,0,0,0,0,0,72308640,69729600,2579040
12,0,8772,0,0,0,0,1175448,0,1175448
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,2833,0,0,0,0,587806,0,587806
17,208160,0,0,0,0,0,315154240,303913600,11240640
18,0,6450,0,0,0,0,864300,0,864300
19,0,1417,0,0,0,0,298126,0,298126
20,54862,0,0,0,0,0,83061068,80098520,2962548
21,0,3870,0,0,0,0,518580,0,518580
22,0,2191,0,0,0,0,469954,0,469954
23,60292,0,0,0,0,0,91282088,88026320,3255768
24,0,6712,0,0,0,0,899408,0,899408
25,0,2834,0,0,0,0,596252,0,596252
26,106300,0,0,0,0,0,160938200,155198000,5740200
27,0,7482,0,0,0,0,1002588,0,1002588
28,0,2451,0,0,0,0,544122,0,544122
29,23017,0,0,0,0,0,34847738,33604820,1242918
30,0,9288,0,0,0,0,1244592,0,1244592
31,0,1932,0,0,0,0,404232,0,404232
32,102672,0,0,0,0,0,155445408,149901120,5544288
33,0,4648,0,0,0,0,622832,0,622832
34,0,3863,0,0,0,0,800018,0,800018
35,305500,0,0,0,0,0,462527000,446030000,16497000
36,0,8256,0,0,0,0,1106304,0,1106304
37,0,1675,0,0,0,0,355402,0,355402
38,114124,0,0,0,0,0,172783736,166621040,6162696
39,0,4644,0,0,0,0,622296,0,622296
40,0,1806,0,0,0,0,400932,0,400932
41,56044,0,0,0,0,0,84850616,81824240,3026376
42,0,6966,0,0,0,0,933444,0,933444
43,0,2449,0,0,0,0,527230,0,527230
44,60837,0,0,0,0,0,92107218,88822020,3285198
45,0,7744,0,0,0,0,1037696,0,1037696
46,0,3740,0,0,0,0,822056,0,822056
47,43730,0,0,0,0,0,66207220,63845800,2361420
48,0,13932,0,0,0,0,1866888,0,1866888
49,0,643,0,0,0,0,126298,0,126298
50,50206,0,0,0,0,0,76011884,73300760,2711124
51,0,774,0,0,0,0,103716,0,103716
52,0,3224,0,0,0,0,707504,0,707504
53,113370,0,0,0,0,0,171642180,165520200,6121980
54,0,11610,0,0,0,0,1555740,0,1555740
55,0,3995,0,0,0,0,853994,0,853994
56,253517,0,0,0,0,0,383824738,370134820,13689918
57,0,11610,0,0,0,0,1555740,0,1555740
58,0,2576,0,0,0,0,538976,0,538976
59,152616,0,0,0,0,0,231060624,222819360,8241264
60,0,6196,0,0,0,0,830264,0,830264
61,0,1547,0,0,0,0,335210,0,335210
62,55410,0,0,0,0,0,83890740,80898600,2992140
63,0,5160,0,0,0,0,691440,0,691440
64,0,2836,0,0,0,0,613144,0,613144
65,61901,0,0,0,0,0,93718114,90375460,3342654
66,0,9546,0,0,0,0,1279164,0,1279164
67,0,2579,0,0,0,0,564314,0,564314
68,17373,0,0,0,0,0,26302722,25364580,938142
69,0,9546,0,0,0,0,1279164,0,1279164
70,0,3093,0,0,0,0,661974,0,661974
71,134849,0,0,0,0,0,204161386,196879540,7281846
72,0,9546,0,0,0,0,1279164,0,1279164
73,0,1935,0,0,0,0,429570,0,429570
74,33749,0,0,0,0,0,51095986,49273540,1822446
75,0,7482,0,0,0,0,1002588,0,1002588
76,0,258,0,0,0,0,57276,0,57276
77,1094,0,0,0,0,0,1656316,1597240,59076
78,0,1032,0,0,0,0,138288,0,138288
79,0,2706,0,0,0,0,576060,0,576060
