TTT,HandoverMargin,Th_57,Th_58,Th_59,Th_60,Th_61,Th_62,Th_63,Th_64,Th_65,Th_66,Th_67,Th_68,Th_69,Th_70,Th_71,Th_72,Th_73,Th_74,Th_75,Th_76,Th_77,Th_78,Th_79,Th_80,Th_81,Th_82,Th_83,Th_84,Th_85,Th_86,Th_87,Th_88,Th_89,Th_90,Th_91,Th_92,Th_93,Th_94,Th_95,Th_96,Th_97,Th_98,Th_99,Th_100,Th_101,Th_102,Th_103,Th_104,Th_105,Th_106,Th_107,Th_108,Th_109,Th_110,Th_111,Th_112,Th_113,Th_114,Th_115,Th_116,Sum_Throughput(Mbps),Handover_Count
256,3,3.802444,3.531790,0.897346,11.052502,3.344910,0.940844,1.000452,10.510792,2.223228,0.563862,2.348486,2.933694,3.485876,1.149876,5.436436,1.483360,10.984436,19.999382,1.787846,0.719730,1.225192,1.297688,2.021043,0.803503,0.909026,3.720684,1.572772,1.904243,6.074808,1.267481,5.146450,0.834516,0.684287,1.466847,0.741076,0.717313,1.822080,19.020276,9.947735,1.450737,2.710968,1.945727,0.559834,0.626692,0.598499,2.883349,1.494234,11.861644,3.533804,0.885263,3.733975,0.474047,4.143581,9.454759,2.153148,7.637914,3.347327,0.527614,1.144640,3.485876,214.02794400000005,131,
256,4,4.284143,3.265164,0.926345,11.320739,5.880276,1.531691,1.075366,10.677534,2.211950,0.604943,2.618737,0.931581,3.152794,1.243719,2.261490,1.177666,9.351652,19.985286,1.134571,0.527614,0.943663,2.648138,2.447161,0.923123,0.591250,3.690074,1.675476,2.447161,5.916927,1.749583,5.140811,0.771686,2.675928,2.945374,0.702411,0.656094,1.443487,19.945815,10.040370,1.639630,2.590543,2.517241,0.546543,0.588028,0.895735,1.192971,1.372199,14.112259,6.324519,1.531691,2.666262,0.409606,4.083570,11.016657,3.163669,7.531989,3.859636,0.805920,1.117252,3.191057,222.67477000000005,121,
256,5,3.853997,3.330008,1.048783,12.288166,4.282935,1.244927,0.726577,9.443884,3.243012,0.655691,2.649346,1.345214,4.515327,1.575994,1.873633,1.396767,6.970543,19.999382,1.259426,0.535266,1.103961,1.919950,2.556712,0.983134,0.975079,3.649396,2.159994,1.478930,5.764281,1.448320,5.444894,0.835321,1.194179,1.507526,0.713286,0.844182,1.720988,19.257501,8.806317,1.673865,2.812061,1.834968,0.653274,0.810753,0.696370,1.621909,1.388309,14.078025,3.172932,0.940844,2.742383,0.494588,3.853997,7.084524,2.878113,7.377732,1.561898,0.757186,0.979912,2.957457,204.97392900000003,101,
256,6,3.779487,3.359812,1.112017,10.917175,9.161148,1.215123,1.846246,10.469710,1.945324,0.696370,2.142676,0.950510,2.721843,2.268739,2.632430,1.533705,8.768861,19.999382,1.060463,0.581583,1.094295,3.104061,1.193374,2.501534,0.665760,2.836629,1.968684,3.926897,4.588226,2.265517,4.259978,1.026229,1.677490,2.161606,0.909832,0.807934,1.505512,19.941385,10.495890,1.487790,2.191007,2.847101,0.440215,0.757992,0.648039,1.186930,1.476513,12.532640,5.131548,1.399989,2.083470,0.314957,4.249103,11.313490,2.155161,5.261236,3.083923,0.927956,1.288425,3.956701,218.82762300000002,82,
512,0,3.989324,3.026731,1.467652,12.009054,3.272817,0.758394,1.071338,11.144331,2.573225,0.607360,2.267934,1.232844,3.743641,1.450334,2.361374,1.517997,6.859785,19.999382,1.484166,0.687106,1.029451,1.486582,2.948596,0.812767,1.018979,3.761766,1.186124,2.147509,6.110251,1.217942,5.692993,0.830891,2.106428,1.777374,0.867542,0.782560,1.476110,17.992436,11.102041,1.449528,2.552281,1.775360,0.570709,0.560640,0.628303,2.278808,1.619090,11.674764,3.489098,0.733826,2.795145,0.378190,4.389666,13.079183,2.663846,11.248243,2.435481,0.993606,1.278759,3.573677,216.041334,78,
512,1,4.028794,3.447614,1.286008,11.182996,5.189142,1.333131,0.760408,10.018621,2.362582,0.750742,2.231283,1.918339,3.330411,1.631575,2.838643,1.598146,6.641087,19.999382,1.153501,0.651663,1.112017,1.739112,2.431454,0.834516,0.673412,3.450836,1.678698,2.390372,6.033727,1.662990,5.524237,0.906207,1.970698,1.638019,0.786990,0.798268,1.361324,19.972397,9.429788,1.553843,2.844684,2.228463,0.672204,0.676232,0.465589,3.025523,1.715349,12.193920,7.409550,1.368171,1.651713,0.407994,4.435178,8.630714,2.175702,6.492872,2.246990,0.863917,1.262648,3.427073,212.49745899999996,61,
512,2,3.133865,2.983233,1.029451,11.508828,8.863106,1.612243,1.278759,10.712574,2.013390,0.488546,2.277600,1.549815,3.615564,1.223581,2.279614,1.322659,7.097815,19.999382,1.466444,0.521975,1.327895,2.072999,2.926444,0.893319,0.820017,3.616370,2.097567,3.071840,6.443735,1.535719,5.308761,0.950108,1.474902,2.580072,0.740270,0.987967,1.630770,19.940982,11.228508,1.821677,2.800783,2.567989,0.399537,0.651261,0.847404,1.437446,1.444695,12.947884,5.166588,1.402406,2.249004,0.329054,3.617175,11.922461,1.727834,6.853341,2.211145,0.925942,1.107989,3.887023,220.94532700000005,49,
512,3,4.253534,3.391630,1.064491,11.359807,8.374157,2.057694,0.904596,10.978797,2.334389,0.679454,2.583697,1.199012,3.201931,2.871266,2.021848,1.747972,6.771178,19.999382,1.574383,0.710869,1.187332,1.689170,2.530935,0.834113,0.974676,3.555956,1.722196,2.350499,5.809390,1.194582,5.291846,1.098323,2.358957,1.561092,1.011327,1.124905,2.054874,19.855194,11.229716,1.484971,2.689622,1.916728,0.555404,0.683079,0.873986,1.349241,1.575994,12.339316,3.306246,0.998036,2.172480,0.290792,4.440817,11.714637,2.557517,7.084927,2.505561,0.848612,1.180083,3.669937,219.75315600000002,44,
512,4,3.632077,3.526152,1.308966,11.655432,2.135829,1.145043,0.596888,11.051697,2.706135,0.659719,2.224033,0.659316,2.787492,1.173639,1.782207,1.451139,4.754566,19.999382,1.598952,0.534461,1.946532,1.981170,2.165633,0.936817,0.589236,3.578510,1.334742,6.128778,5.834764,1.404017,5.535112,0.860292,0.973870,1.246135,0.817197,0.716508,0.844182,17.881677,10.964298,1.497054,2.689622,2.352513,0.623068,0.705230,0.916276,1.638825,1.382670,12.891498,1.764888,1.018577,2.342847,0.462367,4.305087,11.874935,3.471779,9.047570,2.069374,0.927553,1.176458,4.068668,208.34945399999995,31,
512,5,4.037655,3.058146,0.968232,11.900309,2.752855,1.665810,0.570306,11.733970,2.992899,0.594472,2.016612,0.702008,3.100839,1.203040,1.636006,1.453153,6.272563,19.999382,1.896993,0.566681,1.725418,2.835421,2.402455,1.119669,0.640789,3.903939,1.916326,2.783062,6.271354,1.212303,5.619691,1.163167,2.499923,1.583244,0.807128,0.793434,0.543321,13.402599,10.857970,1.551426,3.253887,2.239741,0.531641,0.764436,0.676634,1.394350,1.753208,12.883443,2.089914,0.891305,7.834058,0.369330,4.437594,11.423443,2.534963,7.656844,4.027183,1.509942,1.286814,3.478223,213.79152299999998,25,
512,6,3.869302,3.109297,1.509539,12.940232,4.270852,1.822080,0.900568,9.781799,2.281628,0.573126,2.124954,0.615415,3.535415,2.124954,5.187934,1.356894,5.496850,19.999382,1.639228,0.525600,1.483360,1.887327,1.929214,1.232441,0.718119,2.647735,1.456375,3.247846,5.102549,2.253837,4.359862,0.732618,2.294919,1.498262,0.518350,0.973468,0.714494,19.993743,9.451939,1.530080,3.011426,2.734328,0.654080,0.762422,0.604541,1.475708,1.241705,11.995763,1.271509,1.092281,2.006543,0.300458,3.780292,8.578356,2.681567,7.382566,1.622312,0.892916,1.134168,3.377534,204.29206200000002,25,
1024,0,3.751697,3.090367,1.149070,11.675972,9.396761,0.798670,1.433821,11.695708,1.909479,0.669385,2.163217,1.589688,3.802444,1.322659,1.883299,1.154709,6.538786,19.999382,1.304535,0.698786,1.747167,2.784270,1.928006,0.837738,1.019785,3.309870,2.501534,2.046417,6.201274,1.057644,5.345815,1.175652,1.479332,2.760105,0.932789,0.954538,1.896590,18.780232,11.038406,1.723001,3.624022,1.721793,0.515128,0.687912,0.739868,1.636408,1.451139,11.752899,3.236568,0.922317,2.321501,0.334692,4.038461,11.059349,1.440668,13.180276,2.517241,0.809948,1.152292,3.166086,221.85716800000006,25,
1024,1,3.795597,3.076270,1.413280,11.564006,9.569142,1.290036,0.784574,11.363834,2.451994,0.628706,2.378290,1.040728,4.835117,1.096309,3.321953,1.267884,7.259321,19.985286,1.255801,0.558626,0.981523,1.545385,2.333986,0.797865,1.031062,3.518499,2.157578,2.845087,5.823890,1.698030,6.071586,1.314201,2.242963,3.360215,0.917484,1.052006,1.258218,15.902924,10.974770,1.387101,2.292905,2.019432,0.666968,0.544932,0.629914,2.464480,1.452348,11.941793,2.802797,1.277148,2.719829,0.577153,4.189495,12.094439,2.859989,12.521766,2.336403,0.859084,1.256204,3.967575,225.62578100000007,23,
1024,2,3.970394,3.782709,1.186930,11.893059,10.023051,1.884105,0.723354,11.284088,2.985650,0.693550,2.435079,1.045159,3.704977,1.402406,3.541054,1.306549,7.094593,19.999382,1.211901,0.492977,1.015757,1.103156,2.257865,1.378643,0.919095,2.824949,2.046819,4.830687,4.780342,1.904646,4.304281,0.996022,2.670290,1.532094,0.782560,0.783366,1.246538,10.845887,11.103250,1.463222,3.508028,2.272364,0.467603,0.665760,0.633539,1.205457,1.484568,13.036491,3.363840,1.316215,2.222422,0.413633,4.322003,11.940988,2.780646,8.506262,1.376629,0.764033,1.072546,3.356993,214.160456,17,
1024,3,3.581732,3.480237,1.260634,11.387597,9.223172,1.300105,0.751950,11.574074,2.938930,0.631123,2.468508,0.907818,3.746461,1.059658,2.215172,1.567939,8.341131,19.999382,1.126516,0.582389,1.079796,0.932789,1.939283,0.891305,0.882041,3.767807,2.503950,2.351305,6.225843,1.310174,5.869401,0.733826,2.003321,1.542163,1.087448,1.150681,1.274328,11.054113,10.732309,1.345214,3.524541,1.785429,0.492977,0.591652,0.701606,0.867945,1.296077,13.901214,2.217186,0.896541,1.967476,0.510698,4.862505,12.016706,2.585308,6.943156,3.692894,1.221567,1.178069,3.677992,211.75316399999994,14,
1024,4,3.996977,3.508028,1.051603,12.493572,10.097159,0.729396,0.514323,11.295768,3.348938,0.652469,2.188590,0.878819,3.188640,1.826913,5.667619,1.555454,5.049788,19.999382,1.463222,0.529225,1.183708,2.101997,1.903840,1.480943,0.584000,3.831846,1.851884,2.204701,6.418361,1.586466,5.496044,0.880833,0.736646,1.149876,0.998036,0.596486,0.945274,11.261534,10.604634,1.596132,3.710212,1.811608,0.714897,0.587625,0.537683,0.509490,1.570759,12.386841,1.651713,0.755575,2.145898,0.417258,4.151233,11.741219,4.537881,9.711316,4.272463,0.691939,1.099531,3.411768,213.866035,14,
1024,5,3.983283,3.248651,0.989578,11.176149,10.423393,1.415697,0.811156,11.069821,3.002163,0.599305,2.178521,0.695967,2.880127,1.414086,7.107884,1.367768,7.818753,19.999382,1.205054,0.389870,1.319840,1.112017,1.487790,0.965010,0.721341,3.508833,2.911945,1.785026,6.218190,1.706086,5.577401,0.651261,1.891354,3.576094,0.718521,0.719327,1.296077,10.514417,10.923619,1.455167,3.653826,2.348083,0.521170,0.744701,0.608568,1.008105,1.612646,13.052601,1.510345,1.021799,2.331570,0.489352,3.916022,12.183046,3.237777,11.831840,1.963448,0.728993,1.049186,3.657451,218.306453,10,
1024,6,3.852386,3.305037,1.017368,11.572061,10.158781,1.730654,0.633539,11.284491,2.698886,0.627498,2.276794,0.729396,3.560789,1.584050,6.410306,1.645269,9.164772,19.999382,1.378240,0.626692,1.153098,1.100739,1.176055,0.843377,0.561043,3.423046,3.097617,1.776568,6.085280,1.332728,5.626538,0.979509,1.865175,4.327239,0.957357,0.850626,1.325076,10.944966,10.594566,1.450334,2.992094,1.996072,0.502240,0.887680,0.691134,0.534461,1.706488,13.156513,1.483360,1.043950,2.209534,0.389870,4.052960,12.150422,2.886571,9.250560,1.276342,0.739465,1.061672,3.616772,216.35548799999998,8,
